50000,50000,3,16,128.00,4,0,0,17,0.01,18446744073709551615,18,256,0.01,1000000000.00,0,0,10,1000,0,0,,8000000,15,0,256,256,65536,262144,     128.00
model defined,18433,50000,68432,5.7594,67077817,0,255392,0,99.62,0,0.00,8321698,12.45,165736,162903,2833,66560,260,66822425,11602235.39,525777,68433,153986,3429,8385992,8385992,608,144,128,36,80,244,152,156,0.1373,0.1566,0.0000,0.0000,4.5509,0.0093,0.0000,1.1401,0.8660,0.0470,2.5399,0.0000,0.0000,9.2151,
50000,50000,3,16,128.00,4,0,0,17,0.01,18446744073709551615,18,256,0.01,1000000000.00,0,0,10,1000,0,0,,8000000,15,0,1024,1024,65536,262144,     128.00
model defined,6145,50000,56144,1.2142,67580345,0,740704,0,98.89,0,0.00,8458945,12.66,380303,365740,14563,70656,69,66839641,55049474.79,533514,56145,55792,1402,8649757,8649757,608,144,128,36,80,244,152,156,0.0219,0.0363,0.0000,0.0000,0.9332,0.0024,0.0000,0.3013,0.0964,0.0246,0.6204,0.0000,0.0000,1.9427,
50000,50000,3,16,128.00,4,0,0,17,0.01,18446744073709551615,18,256,0.01,1000000000.00,0,0,10,1000,0,0,,8000000,15,0,2048,2048,65536,262144,     128.00
model defined,4097,50000,54096,0.6094,68236592,0,1392083,0,97.92,0,0.00,8597370,12.86,604805,568544,36261,77824,38,66844509,109687973.21,543077,54097,39426,1065,8965618,8965618,608,144,128,36,80,244,152,156,0.0107,0.0189,0.0000,0.0000,0.4585,0.0015,0.0000,0.1783,0.0341,0.0205,0.3170,0.0000,0.0000,0.9750,
50000,50000,3,16,128.00,4,0,0,17,0.01,18446744073709551615,18,256,0.01,1000000000.00,0,0,10,1000,0,0,,8000000,15,0,4096,4096,65536,262144,     128.00
model defined,3073,50000,53072,0.3258,69705959,0,2825496,0,95.78,0,0.00,8879770,13.28,1001541,903232,98309,102400,25,66880463,205276953.16,561777,53073,31243,896,9656106,9656106,608,144,128,36,80,244,152,156,0.0055,0.0117,0.0000,0.0000,0.2335,0.0015,0.0000,0.1166,0.0155,0.0179,0.1720,0.0000,0.0000,0.5213,
50000,50000,3,16,128.00,4,0,0,17,0.01,18446744073709551615,18,256,0.01,1000000000.00,0,0,10,1000,0,0,,8000000,15,0,8192,8192,65536,262144,     128.00
model defined,2561,50000,52560,0.1846,73524666,0,6589075,0,90.16,0,0.00,9434735,14.10,1798448,1496892,301556,147456,18,66935591,362664797.42,615023,52561,27152,811,11368535,11368535,608,144,128,36,80,244,152,156,0.0030,0.0081,0.0000,0.0000,0.1264,0.0023,0.0000,0.0725,0.0082,0.0172,0.0905,0.0000,0.0000,0.2953,
